DATE,ACTION,DESCRIPTION,PROJECT,PRIORITY
"2011-03-03 10:52:18",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 10:52:23",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 10:52:34",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:25:52",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:30:08",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:30:51",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:32:55",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:33:29",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:33:54",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 12:50:20",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-03 16:28:55",Schedule,"Checked for due processing slots",Operation,Low
"2011-03-04 00:23:00","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:23:00","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:31:57","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:31:57","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:39:58","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:39:58","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:42:22","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:42:22","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:46:35","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:46:35","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:46:52","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:46:52","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:49:14","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:49:14","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:49:48","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:49:48","Table Failed","A table named wp_ecilog could not be made",ecilog.csv,Failure
"2011-03-04 00:52:27","Created Table","A new database table was created for project ecilog.csv",ecilog.csv,Low
"2011-03-04 00:52:27","Table Created","A table named wp_ecilog was created",ecilog.csv,Low
"2011-03-05 01:35:59",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 01:39:07",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 02:01:45",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 02:03:40",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 02:07:41","Import Started","Data import started",ecilog.csv,Low
"2011-03-05 02:07:41",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 02:07:41",Import,"Imported:5 Import Failed:0 Updated:Paid Support Edition Only, Updated Failed:Paid Support Edition Only ",ecilog.csv,Low
"2011-03-05 02:07:41",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 02:08:13","Create Posts","Post creation procedure started",ecilog.csv,Low
"2011-03-05 02:08:13","Created Post","A base post with id 4 was created",ecilog.csv,Low
"2011-03-05 02:08:13","Create Posts","Posts Created:1 Create Failed:0 Adopted: Adopt Failed:",ecilog.csv,High
"2011-03-05 02:08:13",Schedule,"Progress reset complete. Reason: eci_filetime detected new file",Operation,Low
"2011-03-05 02:47:55","Create Posts","Post creation procedure started",ecilog.csv,Low
"2011-03-05 02:47:55","Created Post","A base post with id 6 was created",ecilog.csv,Low
"2011-03-05 02:47:55","Create Post Duplicate Check","post created with id 6 with title Schedule  Low  is considered a duplicate",ecilog.csv,Low
"2011-03-05 02:47:55","Create Posts","Posts Created:1 Create Failed:0 Adopted: Adopt Failed:",ecilog.csv,High
